21-22 Team,21-22 Rank,21-22 Week,22-23 Team,22-23 Rank,22-23 Week,23-24 Team,23-24 Rank,23-24 Week
Man United,1,1,Arsenal,2,1,Liverpool,10,1
Chelsea,2,1,Manchester City,2,1,Man City,3,1
Liverpool,3,1,Tottenham,1,1,Aston Villa,18,1
West Ham,4,1,Brighton,6,1,Arsenal,4,1
Everton,5,1,Newcastle,2,1,Tottenham,8,1
Brentford,6,1,Chelsea,8,1,West Ham,10,1
Watford,7,1,Man United,13,1,Brighton,2,1
Brighton,8,1,Liverpool,9,1,Man Utd,5,1
Leicester,9,1,Fulham,9,1,Newcastle,1,1
Tottenham,10,1,Brentford,9,1,Chelsea,10,1
Aston Villa,11,1,Leeds,6,1,Wolves,14,1
Burnley,12,1,Aston Villa,16,1,Bournemouth',10,1
Man City,13,1,Bournemouth,2,1,Fulham,5,1
Wolves,14,1,Crystal Palace,16,1,Crystal Palace,5,1
Newcastle,15,1,Everton,15,1,Everton,20,1
Southampton,16,1,West Ham,16,1,Brentford,8,1
Arsenal,17,1,Southampton,20,1,Nottingham Forest,19,1
Crystal Palace,18,1,Wolves,13,1,Luton,16,1
Norwich,19,1,Nottingham Forest,16,1,Burnley,17,1
Leeds,20,1,Leicester,9,1,Sheffield Utd,14,1
West Ham,1,2,Arsenal,2,2,Liverpool,5,2
Chelsea,2,2,Manchester City,1,2,Man City,2,2
Liverpool,3,2,Tottenham,4,2,Aston Villa,9,2
Brighton,4,2,Brighton,8,2,Arsenal,3,2
Tottenham,5,2,Newcastle,5,2,Tottenham,5,2
Man United,6,2,Chelsea,7,2,West Ham,5,2
Everton,7,2,Man United,20,2,Brighton,1,2
Brentford,8,2,Liverpool,12,2,Man Utd,11,2
Man City,9,2,Fulham,13,2,Newcastle,8,2
Aston Villa,10,2,Brentford,3,2,Chelsea,14,2
Watford,11,2,Leeds,6,2,Wolves,18,2
Leicester,12,2,Aston Villa,9,2,Bournemouth',14,2
Southampton,13,2,Bournemouth,11,2,Fulham,13,2
Crystal Palace,14,2,Crystal Palace,16,2,Crystal Palace,10,2
Leeds,15,2,Everton,18,2,Everton,20,2
Wolves,16,2,West Ham,19,2,Brentford,4,2
Burnley,17,2,Southampton,17,2,Nottingham Forest,19,2
Newcastle,18,2,Wolves,14,2,Luton,17,2
Arsenal,19,2,Nottingham Forest,10,2,Burnley,12,2
Norwich,20,2,Leicester,15,2,Sheffield Utd,16,2
Tottenham,1,3,Arsenal,1,3,Liverpool,4,3
West Ham,2,3,Manchester City,2,3,Man City,1,3
Man United,3,3,Tottenham,3,3,Aston Villa,7,3
Chelsea,4,3,Brighton,5,3,Arsenal,5,3
Liverpool,5,3,Newcastle,6,3,Tottenham,3,3
Everton,6,3,Chelsea,12,3,West Ham,2,3
Man City,7,3,Man United,14,3,Brighton,6,3
Brighton,8,3,Liverpool,16,3,Man Utd,8,3
Leicester,9,3,Fulham,7,3,Newcastle,13,3
Brentford,10,3,Brentford,8,3,Chelsea,10,3
Aston Villa,11,3,Leeds,3,3,Wolves,14,3
Watford,12,3,Aston Villa,13,3,Bournemouth',16,3
Southampton,13,3,Bournemouth,15,3,Fulham,12,3
Crystal Palace,14,3,Crystal Palace,14,3,Crystal Palace,11,3
Leeds,15,3,Everton,9,3,Everton,20,3
Burnley,16,3,West Ham,20,3,Brentford,9,3
Newcastle,17,3,Southampton,11,3,Nottingham Forest,19,3
Wolves,18,3,Wolves,18,3,Luton,18,3
Norwich,19,3,Nottingham Forest,10,3,Burnley,15,3
Arsenal,20,3,Leicester,19,3,Sheffield Utd,17,3
Man United,1,4,Arsenal,1,4,Liverpool,4,4
Chelsea,2,4,Manchester City,2,4,Man City,1,4
Liverpool,3,4,Tottenham,3,4,Aston Villa,9,4
Everton,4,4,Brighton,4,4,Arsenal,5,4
Man City,5,4,Newcastle,7,4,Tottenham,2,4
Brighton,6,4,Chelsea,6,4,West Ham,4,4
Tottenham,7,4,Man United,8,4,Brighton,6,4
West Ham,8,4,Liverpool,9,4,Man Utd,10,4
Leicester,9,4,Fulham,11,4,Newcastle,13,4
Brentford,10,4,Brentford,10,4,Chelsea,11,4
Crystal Palace,11,4,Leeds,5,4,Wolves,14,4
Aston Villa,12,4,Aston Villa,15,4,Bournemouth',17,4
Wolves,13,4,Bournemouth,17,4,Fulham,12,4
Southampton,14,4,Crystal Palace,12,4,Crystal Palace,7,4
Watford,15,4,Everton,18,4,Everton,20,4
Arsenal,16,4,West Ham,16,4,Brentford,8,4
Leeds,17,4,Southampton,13,4,Nottingham Forest,16,4
Burnley,18,4,Wolves,19,4,Luton,19,4
Newcastle,19,4,Nottingham Forest,14,4,Burnley,15,4
Norwich,20,4,Leicester,20,4,Sheffield Utd,18,4
Chelsea,1,5,Arsenal,1,5,Liverpool,3,5
Liverpool,2,5,Manchester City,2,5,Man City,1,5
Man United,3,5,Tottenham,3,5,Aston Villa,7,5
Brighton,4,5,Brighton,4,5,Arsenal,4,5
Man City,5,5,Newcastle,12,5,Tottenham,2,5
Everton,6,5,Chelsea,10,5,West Ham,6,5
Tottenham,7,5,Man United,5,5,Brighton,5,5
West Ham,8,5,Liverpool,6,5,Man Utd,12,5
Brentford,9,5,Fulham,8,5,Newcastle,11,5
Aston Villa,10,5,Brentford,11,5,Chelsea,13,5
Watford,11,5,Leeds,7,5,Wolves,17,5
Leicester,12,5,Aston Villa,19,5,Bournemouth',16,5
Arsenal,13,5,Bournemouth,16,5,Fulham,9,5
Crystal Palace,14,5,Crystal Palace,13,5,Crystal Palace,8,5
Southampton,15,5,Everton,17,5,Everton,20,5
Wolves,16,5,West Ham,14,5,Brentford,10,5
Leeds,17,5,Southampton,9,5,Nottingham Forest,15,5
Newcastle,18,5,Wolves,18,5,Luton,19,5
