Day,Arsenal,AstonVilla,Burnley,Brentford,Brighton,Chelsea,CrystalPalace,Everton,NorwichCity,LeedsUnited,LeicesterCity,Liverpool,ManchesterCity,ManchesterUtd,Newcastle,Watford,Southampton,Tottenham,WestHam,Wolves
2021-08-13,63,4,4,100,18,10,3,4,4,8,3,9,5,11,8,4,10,6,4,6
2021-08-14,34,9,9,39,24,27,38,16,63,100,12,25,8,42,7,10,22,8,4,15
2021-08-15,18,4,4,7,17,10,5,6,12,9,3,12,30,15,17,5,10,68,20,8
2021-08-16,17,3,3,5,18,8,2,4,2,6,2,8,6,8,7,3,10,14,5,5
2021-08-17,16,2,5,3,17,8,1,3,2,5,1,8,6,10,6,3,9,6,4,5
2021-08-18,19,2,4,3,16,7,2,4,2,5,1,8,5,7,6,3,9,7,3,5
2021-08-19,20,3,4,3,18,7,1,4,2,5,2,8,5,8,6,4,10,20,3,5
2021-08-20,20,3,5,3,18,8,2,4,4,5,1,8,5,9,6,3,10,11,3,6
2021-08-21,22,11,79,12,32,9,7,19,100,23,2,27,21,12,11,8,14,8,4,7
2021-08-22,82,4,9,4,20,40,2,6,13,7,3,10,8,27,7,4,100,33,4,32
2021-08-23,21,2,3,2,14,10,1,3,3,4,10,7,4,7,5,2,11,7,17,6
2021-08-24,17,9,4,11,23,8,6,13,17,18,4,9,7,9,6,7,11,7,9,12
2021-08-25,47,4,12,3,18,7,2,5,5,6,2,8,6,8,11,4,16,6,5,6
2021-08-26,27,3,5,2,16,9,1,4,3,4,2,8,17,11,7,3,10,15,4,6
2021-08-27,19,3,4,2,16,10,2,5,3,5,2,10,27,57,6,3,9,9,5,6
2021-08-28,100,11,4,15,35,48,9,13,20,6,12,43,38,41,10,4,16,8,18,9
2021-08-29,26,3,17,3,19,14,3,5,4,17,3,12,10,56,6,24,9,37,6,100
2021-08-30,21,2,4,2,16,8,2,4,3,7,2,8,5,18,6,4,8,8,5,12
2021-08-31,29,3,4,2,16,9,2,5,2,10,2,9,6,21,7,3,9,8,6,7
2021-09-01,16,2,2,2,16,8,1,4,2,5,2,7,5,15,6,3,8,5,3,5
2021-09-02,11,1,2,2,13,6,1,3,1,4,1,6,4,13,6,2,9,4,2,4
2021-09-03,11,1,2,2,16,6,1,3,1,3,1,6,3,13,6,2,8,4,2,5
2021-09-04,12,2,2,2,15,6,1,6,2,3,2,7,4,15,7,2,9,4,2,5
2021-09-05,12,2,2,1,17,6,1,3,1,3,1,7,4,9,6,2,9,4,2,5
2021-09-06,10,1,2,2,15,5,1,2,1,3,1,6,3,9,6,2,8,3,2,5
2021-09-07,9,1,2,2,15,5,1,2,1,3,1,6,3,8,6,2,8,3,2,4
2021-09-08,8,1,2,2,15,5,1,2,1,3,1,7,4,9,6,2,8,3,2,4
2021-09-09,10,1,2,2,15,5,1,3,2,3,2,7,4,8,7,3,8,3,2,4
2021-09-10,10,3,3,2,17,6,2,3,3,3,2,7,4,12,9,3,9,4,2,5
2021-09-11,47,36,3,8,22,29,30,3,43,6,43,9,23,100,100,7,15,38,10,12
2021-09-12,14,8,3,3,19,11,4,4,4,63,7,34,7,17,14,3,9,6,3,6
2021-09-13,9,2,21,2,15,7,2,23,2,8,2,11,5,13,8,2,9,4,2,4
2021-09-14,9,2,8,1,15,21,1,9,1,4,2,9,7,47,7,2,8,4,3,4
2021-09-15,8,1,2,1,14,10,1,3,1,3,2,32,24,12,6,2,8,4,3,4
2021-09-16,8,1,3,2,15,6,1,2,1,3,11,13,10,7,6,2,9,17,15,4
2021-09-17,10,2,4,2,16,6,2,3,2,17,6,8,6,10,15,3,9,8,7,5
2021-09-18,35,15,31,18,18,8,29,16,9,9,3,22,22,13,10,6,37,7,8,18
2021-09-19,15,5,7,4,36,34,6,5,3,4,10,11,9,48,7,3,11,48,100,6
2021-09-20,11,2,3,2,17,10,2,3,3,3,2,8,5,10,6,3,9,7,9,4
2021-09-21,10,3,7,8,16,8,1,11,58,10,1,20,14,12,6,5,12,4,6,4
2021-09-22,27,25,4,4,20,21,1,4,17,6,5,11,9,28,6,3,9,16,67,17
2021-09-23,13,10,3,2,16,11,1,2,2,3,3,7,5,12,6,2,8,7,19,9
2021-09-24,9,5,3,4,16,9,1,3,2,4,1,8,6,9,6,3,9,4,4,5
2021-09-25,13,100,12,97,20,44,1,12,12,18,10,29,37,52,9,7,10,7,17,5
2021-09-26,73,7,3,16,19,8,2,3,2,4,2,10,8,10,6,3,23,53,4,17
2021-09-27,18,3,3,4,39,6,13,2,1,3,1,8,8,6,6,3,10,8,2,5
2021-09-28,10,2,2,2,26,7,5,2,1,3,1,21,100,9,6,2,8,4,2,4
2021-09-29,9,2,2,2,15,34,1,2,1,3,1,12,30,31,6,2,8,4,2,4
2021-09-30,9,2,2,2,16,12,1,3,1,3,10,7,6,15,6,2,8,13,14,4
2021-10-01,10,2,3,2,18,6,2,5,1,4,4,9,5,10,7,3,10,9,7,4
2021-10-02,42,4,10,3,66,28,2,100,6,16,2,12,9,36,11,8,74,6,4,14
2021-10-03,14,20,3,24,22,9,10,7,2,5,11,46,32,9,6,5,13,27,16,6
2021-10-04,7,3,2,4,14,5,2,3,1,3,2,12,8,7,6,3,8,5,2,4
2021-10-05,8,2,2,2,13,5,1,2,1,3,1,7,4,6,6,3,8,3,1,4
2021-10-06,7,1,2,2,17,5,1,2,1,2,1,6,4,5,8,2,8,3,1,4
2021-10-07,6,2,2,2,18,5,1,2,1,2,1,6,4,6,26,2,8,3,1,4
2021-10-08,6,1,2,2,15,5,1,2,1,3,1,6,4,4,25,2,8,3,1,4
2021-10-09,7,1,2,2,16,5,1,4,1,3,1,7,5,8,17,3,8,3,2,4
2021-10-10,8,1,2,1,15,5,1,3,1,2,2,7,4,6,12,2,8,5,2,4
2021-10-11,7,1,2,1,16,5,1,2,1,2,1,6,3,5,11,2,8,3,2,4
2021-10-12,6,1,2,2,15,5,1,2,1,2,1,6,3,6,10,2,8,3,2,4
2021-10-13,6,1,2,2,15,6,1,2,1,2,1,6,3,7,10,2,7,3,2,4
2021-10-14,7,1,2,2,15,5,1,2,1,3,1,6,3,7,10,3,8,3,1,4
2021-10-15,7,2,4,4,16,6,1,2,1,4,2,7,4,6,10,4,8,3,2,4
2021-10-16,11,10,52,67,25,24,2,4,8,12,100,27,37,43,10,40,15,5,3,14
2021-10-17,11,3,9,14,15,9,2,19,2,4,12,10,8,11,39,7,9,43,17,7
2021-10-18,41,1,3,3,15,6,27,3,1,3,2,8,5,8,12,3,8,7,4,5
2021-10-19,19,1,3,2,14,6,9,2,1,2,2,30,26,10,9,3,8,4,2,4
2021-10-20,7,1,2,2,14,17,2,2,1,2,19,14,8,37,10,2,8,4,2,4
2021-10-21,7,2,2,2,15,9,1,3,2,3,4,8,4,15,8,2,7,16,14,4
2021-10-22,42,27,3,3,17,6,2,3,3,3,2,9,4,9,9,3,8,8,6,5
2021-10-23,22,11,8,4,88,31,10,19,92,16,3,13,23,10,14,13,14,5,4,15
2021-10-24,11,2,3,31,29,9,3,5,8,5,15,100,12,73,9,5,9,24,26,6
2021-10-25,10,2,3,5,16,7,1,2,2,4,3,20,5,29,8,3,9,5,5,4
2021-10-26,34,2,3,3,16,21,1,2,1,24,2,10,5,15,7,3,53,4,3,4
2021-10-27,16,1,13,7,27,11,1,2,1,8,10,19,15,11,8,3,23,12,28,4
2021-10-28,8,1,7,3,20,6,1,2,1,3,4,11,7,9,7,2,8,6,13,4
2021-10-29,9,1,4,3,18,6,1,2,2,4,2,9,5,10,8,3,9,6,4,4
2021-10-30,55,2,9,10,100,24,31,3,3,5,37,29,25,40,24,7,11,100,4,5
2021-10-31,14,19,3,3,24,9,5,3,20,19,3,9,7,15,9,3,9,23,25,6
2021-11-01,10,4,3,2,16,7,2,17,3,4,1,8,4,9,8,3,8,14,5,21
2021-11-02,9,2,2,2,14,23,1,7,1,3,1,9,6,31,8,2,8,12,3,10
2021-11-03,8,1,2,1,13,9,1,3,1,3,2,27,18,14,8,2,7,6,3,5
2021-11-04,8,2,3,1,14,6,1,2,1,3,10,14,8,8,8,2,8,25,17,4
2021-11-05,9,11,4,2,16,6,2,2,2,3,5,8,7,8,9,3,22,18,7,5
2021-11-06,14,6,52,13,35,25,9,4,15,5,2,11,70,55,14,4,13,8,5,11
2021-11-07,47,6,10,3,18,8,2,21,6,18,12,37,8,16,9,24,8,26,75,6
2021-11-08,13,4,4,2,14,6,1,4,3,4,2,11,4,9,8,5,7,6,15,4
2021-11-09,8,3,3,1,15,6,1,2,3,3,1,8,4,8,8,3,8,4,4,4
2021-11-10,9,5,2,1,13,5,1,2,3,2,1,9,4,8,7,2,7,3,3,4
2021-11-11,7,7,2,1,14,5,1,2,3,2,1,9,3,6,7,2,7,3,3,4
2021-11-12,7,3,2,2,14,5,1,2,3,2,1,8,3,7,7,2,7,3,2,4
2021-11-13,9,2,2,3,16,6,1,2,3,2,1,10,3,7,7,2,7,4,2,5
2021-11-14,7,2,2,2,15,6,1,3,3,2,1,12,4,7,6,2,7,4,2,5
2021-11-15,7,2,2,2,14,5,1,2,2,3,1,14,3,6,6,2,7,3,2,4
2021-11-16,7,2,2,1,13,5,1,1,2,2,1,10,3,5,6,2,7,3,2,4
2021-11-17,8,2,2,2,13,5,1,2,1,2,1,7,3,7,6,2,7,3,2,4
2021-11-18,8,2,2,2,14,5,1,2,1,2,1,7,3,7,6,3,7,3,2,4
2021-11-19,10,2,3,2,15,6,1,2,1,3,2,7,3,8,7,4,7,3,3,4
2021-11-20,70,13,8,11,25,28,5,3,9,4,41,36,9,53,12,100,11,5,14,16
