,Day,Arsenal,AstonVilla,Bournemouth,Brentford,Brighton,Chelsea,CrystalPalace,Everton,Fulham,Leeds,LeicesterCity,Liverpool,ManchesterCity,ManchesterUtd,Newcastle,NottinghamForest,Southampton,Tottenham,WestHam,Wolves
1,2022-08-11,8,2,4,1,12,13,2,5,2,14,2,8,4,12,7,6,4.0,5,3,5
2,2022-08-12,9,3,6,3,13,15,2,5,2,15,3,8,4,14,7,7,4.0,6,4,5
3,2022-08-13,36,30,67,100,27,16,3,32,9,24,53,12,33,54,13,10,10.0,11,5,13
4,2022-08-14,11,4,9,19,14,87,5,6,3,15,6,13,7,21,7,54,5.0,100,28,6
5,2022-08-15,8,2,5,3,12,22,89,4,3,15,2,46,5,15,7,15,4.0,19,5,5
6,2022-08-16,7,2,4,2,11,13,24,4,2,14,2,17,5,13,6,7,4.0,7,4,6
7,2022-08-17,9,2,4,1,11,12,4,5,2,14,1,9,4,14,7,6,4.0,6,4,6
8,2022-08-18,9,2,4,1,11,13,3,4,2,15,1,8,4,14,7,9,4.0,6,17,6
9,2022-08-19,8,2,5,2,11,13,3,5,3,15,2,9,4,19,7,9,4.0,7,8,7
10,2022-08-20,38,19,49,11,12,17,25,19,19,16,13,12,7,20,8,23,10.0,57,5,50
11,2022-08-21,14,4,9,2,28,61,5,6,5,87,3,14,35,20,57,8,5.0,9,22,9
12,2022-08-22,9,3,5,1,13,15,3,4,2,22,2,86,10,66,12,6,4.0,6,4,6
13,2022-08-23,8,11,7,4,11,13,8,10,7,18,7,30,7,27,8,9,5.0,5,4,11
14,2022-08-24,8,5,5,1,17,13,3,5,3,30,4,11,43,16,15,6,4.0,6,4,7
15,2022-08-25,8,2,4,1,12,14,2,5,2,20,2,10,13,15,10,5,4.0,6,15,6
16,2022-08-26,10,2,5,1,11,15,3,5,3,17,2,11,5,16,8,5,6.0,6,7,6
17,2022-08-27,43,3,100,7,24,46,100,14,54,30,42,59,42,52,9,8,100.0,8,6,7
18,2022-08-28,14,19,14,2,14,17,9,4,9,17,5,16,8,15,20,45,9.0,45,23,25
19,2022-08-29,9,4,5,1,11,14,4,4,3,18,2,10,5,14,8,12,5.0,9,6,6
20,2022-08-30,10,4,8,9,23,43,19,16,16,32,3,11,5,17,8,8,32.0,7,5,7
21,2022-08-31,31,31,11,3,13,24,5,8,6,19,4,34,33,18,36,65,12.0,27,21,13
22,2022-09-01,20,10,6,1,10,23,3,7,4,17,91,18,23,45,16,20,5.0,12,9,8
23,2022-09-02,11,4,5,1,10,17,2,5,3,15,24,11,8,19,8,11,4.0,6,5,6
24,2022-09-03,15,54,11,8,12,49,12,84,25,26,5,46,36,14,16,19,7.0,34,46,13
25,2022-09-04,100,10,5,2,54,16,3,6,5,14,39,11,12,66,7,6,4.0,9,7,7
26,2022-09-05,14,2,4,1,12,13,2,3,2,13,4,9,5,12,6,3,4.0,6,4,6
27,2022-09-06,6,2,3,1,9,64,1,3,2,12,2,10,31,10,6,3,4.0,6,3,5
28,2022-09-07,6,1,3,1,13,34,2,3,2,11,2,46,11,10,6,3,3.0,46,3,5
29,2022-09-08,27,1,3,1,15,17,1,3,2,10,1,18,5,29,5,3,4.0,17,18,5
30,2022-09-09,8,2,3,1,12,13,2,3,2,11,1,9,4,11,6,3,3.0,5,7,6
31,2022-09-10,5,1,3,1,11,12,2,3,2,10,1,9,7,8,6,2,4.0,6,3,6
32,2022-09-11,6,1,3,1,10,10,3,2,1,9,1,8,5,6,6,2,3.0,5,2,5
33,2022-09-12,5,1,3,1,11,11,2,2,1,12,1,9,4,7,6,3,4.0,5,2,5
34,2022-09-13,4,1,3,1,9,12,1,2,1,11,1,35,5,6,6,2,3.0,48,2,5
35,2022-09-14,4,1,2,1,9,35,1,3,1,10,1,15,33,7,5,2,3.0,10,2,4
36,2022-09-15,7,1,3,1,9,17,1,2,1,11,1,8,12,27,6,3,3.0,4,13,5
37,2022-09-16,6,19,3,1,10,10,1,2,17,12,2,7,5,10,6,18,12.0,5,5,6
38,2022-09-17,7,7,13,2,11,12,2,3,7,13,45,10,32,10,16,8,6.0,61,3,100
39,2022-09-18,34,3,4,44,11,15,2,21,2,13,10,11,7,9,6,3,3.0,16,20,8
40,2022-09-19,8,1,3,3,9,9,1,4,1,10,2,7,3,6,5,2,3.0,5,3,5
41,2022-09-20,6,1,3,1,9,8,1,2,1,11,2,7,4,6,6,2,3.0,5,2,5
42,2022-09-21,5,1,3,1,9,8,1,2,1,11,1,7,3,5,6,2,3.0,4,2,4
43,2022-09-22,4,1,3,1,9,7,1,2,1,11,1,7,3,5,6,2,3.0,4,2,4
44,2022-09-23,4,1,3,1,9,8,1,2,1,11,1,7,3,5,5,2,4.0,3,2,4
45,2022-09-24,6,1,3,1,9,8,1,2,1,13,1,10,4,7,6,2,4.0,6,2,5
46,2022-09-25,4,2,3,0,9,9,1,3,1,10,1,8,4,6,6,2,3.0,4,3,4
47,2022-09-26,4,1,3,1,10,7,1,2,1,12,1,7,3,5,6,2,3.0,4,2,4
48,2022-09-27,4,1,3,0,8,7,1,2,1,11,1,6,3,5,6,2,3.0,3,1,4
49,2022-09-28,4,1,3,1,8,8,1,2,1,11,1,6,3,5,6,2,3.0,4,2,4
50,2022-09-29,4,1,3,1,9,8,1,3,2,11,1,6,3,5,6,2,3.0,5,2,4
51,2022-09-30,6,1,3,1,11,10,2,2,2,12,1,7,4,6,6,2,4.0,6,2,4
52,2022-10-01,51,3,6,5,92,41,45,10,14,13,2,39,10,11,12,3,8.0,88,17,17
53,2022-10-02,10,15,3,1,18,13,6,4,2,29,2,11,98,100,6,3,4.0,10,5,9
54,2022-10-03,5,3,3,1,11,9,2,2,1,14,23,8,12,10,6,20,4.0,5,2,6
55,2022-10-04,5,2,3,1,10,11,2,2,1,12,8,26,7,6,6,10,3.0,27,2,5
56,2022-10-05,5,1,3,1,9,44,1,2,1,12,2,12,36,6,6,4,3.0,10,2,5
