Day,Burnley,Arsenal,Everton,SheffieldUtd,Brighton,Bournemouth,NewcastleUtd,Brentford,Chelsea,ManchesterUtd,NottinghamForest,Fulham,Liverpool,Wolves,Tottenham,ManchesterCity,AstonVilla,WestHam,CrystalPalace,LutonTown
2023-08-11,100,11,6,15,20,6,13,3,17,7,6,3,15,6,11,35,5,8,4,4
2023-08-12,27,60,21,24,40,19,50,3,20,6,70,15,15,7,13,14,40,22,12,22
2023-08-13,4,11,6,13,16,7,20,56,96,8,7,4,59,9,63,6,10,6,4,5
2023-08-14,3,8,6,13,13,6,14,5,24,17,4,3,16,100,11,6,4,6,3,3
2023-08-15,3,8,6,13,12,6,12,2,16,7,4,2,11,37,7,9,4,5,3,2
2023-08-16,3,8,5,12,11,6,12,2,16,6,4,2,10,7,6,77,4,4,3,2
2023-08-17,2,7,5,13,12,6,12,2,13,5,4,2,11,6,6,19,4,4,3,2
2023-08-18,3,8,5,39,12,8,13,2,13,6,36,3,11,7,7,6,5,5,3,2
2023-08-19,6,10,6,20,44,100,70,15,15,18,11,18,42,32,93,37,5,7,3,5
2023-08-20,3,11,35,12,16,11,26,3,58,5,5,3,12,8,19,12,38,93,5,3
2023-08-21,2,42,7,12,13,7,12,2,15,5,4,2,10,5,7,5,6,14,82,2
2023-08-22,2,17,5,13,13,6,12,1,10,5,4,3,10,5,6,5,4,6,24,2
2023-08-23,4,8,4,12,11,6,11,1,9,6,4,2,9,5,5,5,28,5,4,2
2023-08-24,4,7,4,12,12,6,11,1,10,5,5,2,9,6,6,4,6,5,3,2
2023-08-25,3,9,5,13,13,7,12,2,43,5,6,3,9,6,6,5,4,6,3,65
2023-08-26,5,47,19,18,51,54,14,12,21,18,100,69,12,17,49,8,5,44,13,18
2023-08-27,23,10,7,100,17,8,95,2,11,100,12,7,49,7,9,30,31,11,3,3
2023-08-28,4,7,6,16,11,6,20,1,10,7,6,3,14,5,6,5,5,6,3,2
2023-08-29,3,8,7,15,11,13,13,8,11,5,5,40,10,14,40,5,4,6,11,6
2023-08-30,13,8,17,21,12,6,12,3,39,5,18,14,10,8,17,5,4,5,4,3
2023-08-31,5,10,7,14,14,7,14,2,18,7,8,3,11,6,7,5,17,6,3,2
2023-09-01,3,12,7,14,17,8,14,2,13,9,11,5,13,7,9,5,9,43,4,32
2023-09-02,31,12,29,40,63,17,46,13,41,10,53,84,12,7,41,29,6,16,4,11
2023-09-03,5,100,5,11,22,7,16,2,13,20,10,9,41,22,11,8,88,5,27,2
2023-09-04,2,17,4,12,12,5,11,1,8,5,4,3,10,5,6,5,7,4,3,2
2023-09-05,2,7,3,11,11,5,13,1,7,4,4,2,8,5,6,3,3,3,2,1
2023-09-06,2,7,3,11,10,5,10,1,7,4,3,2,7,4,4,4,2,3,2,1
2023-09-07,2,6,3,11,11,5,11,1,7,3,3,2,7,5,4,4,2,3,1,1
2023-09-08,2,6,2,12,11,5,10,1,6,3,2,2,7,4,4,3,2,3,2,1
2023-09-09,2,8,2,12,11,6,11,1,8,4,3,2,8,5,4,4,2,4,2,1
2023-09-10,2,6,2,12,11,5,11,1,8,4,2,2,7,5,4,4,2,3,2,1
2023-09-11,2,5,2,12,10,4,10,1,6,3,2,2,6,4,4,3,2,2,1,1
2023-09-12,1,5,3,12,10,4,10,1,6,3,2,1,6,5,4,3,2,2,2,1
2023-09-13,1,5,3,11,9,4,10,1,6,3,2,2,6,5,4,3,2,3,2,1
2023-09-14,1,5,3,11,10,4,10,1,6,2,2,2,6,5,4,3,2,3,2,1
2023-09-15,2,6,4,11,12,5,11,1,7,4,3,2,7,6,5,4,2,4,2,1
2023-09-16,2,9,5,42,90,6,37,22,10,24,4,14,33,79,40,32,22,62,19,9
2023-09-17,2,44,57,14,23,48,15,4,38,5,4,3,10,10,10,6,4,9,3,2
2023-09-18,18,10,7,12,15,6,14,1,8,4,30,2,8,6,5,5,3,4,2,1
2023-09-19,6,8,4,16,13,5,89,1,7,5,8,2,8,5,5,35,3,4,2,1
2023-09-20,2,37,3,12,12,5,18,1,7,17,3,1,8,5,5,14,2,3,2,1
2023-09-21,2,14,3,12,43,4,11,1,7,6,3,2,31,5,5,5,27,22,2,1
2023-09-22,3,7,3,14,22,5,11,2,7,3,4,2,11,5,5,5,7,9,3,1
2023-09-23,69,11,21,15,15,5,12,19,10,13,58,12,10,18,8,28,5,6,17,10
2023-09-24,21,58,6,55,38,22,52,4,35,5,6,2,32,7,79,7,39,69,3,2
2023-09-25,3,8,3,19,14,5,17,2,10,3,3,2,9,5,10,4,5,6,3,1
2023-09-26,7,7,4,13,12,5,13,2,9,12,3,2,8,14,6,6,3,3,87,5
2023-09-27,3,23,13,12,46,9,56,30,28,5,2,6,24,7,5,25,14,12,26,2
2023-09-28,2,9,5,12,20,5,26,7,13,4,2,3,12,5,5,10,5,5,4,1
2023-09-29,2,7,4,20,12,6,13,2,8,3,3,2,9,6,6,5,4,3,4,1
2023-09-30,9,29,16,21,45,28,26,3,11,16,5,3,41,47,63,30,37,15,51,8
2023-10-01,3,10,4,14,15,7,13,13,12,5,20,3,14,11,18,6,7,5,8,2
2023-10-02,2,7,3,12,11,5,11,2,31,4,4,35,9,6,7,5,4,3,3,2
2023-10-03,8,34,2,14,10,4,13,1,15,14,2,10,9,5,6,7,3,3,3,9
2023-10-04,3,15,2,12,11,4,100,1,8,6,2,2,9,5,6,26,3,3,2,3
2023-10-05,2,6,2,12,51,4,43,1,7,3,2,2,25,6,5,8,16,24,2,1
2023-10-06,2,8,3,12,19,4,14,2,8,5,2,2,13,5,6,5,7,8,2,2
2023-10-07,39,11,14,26,15,11,15,100,35,18,16,14,12,7,46,10,5,6,24,37
2023-10-08,5,80,4,12,87,5,43,10,12,5,4,3,33,19,12,41,19,41,4,2
2023-10-09,2,16,3,13,14,4,12,3,8,3,2,2,8,5,6,6,3,4,2,1
2023-10-10,2,7,3,12,9,4,11,2,7,5,3,1,7,5,5,4,3,2,1,1
2023-10-11,1,6,3,13,9,4,10,1,7,3,2,1,7,4,4,4,2,2,2,1
2023-10-12,2,5,3,13,9,4,10,1,6,3,2,1,6,4,4,3,2,2,2,1
2023-10-13,2,5,2,13,10,4,10,1,6,3,2,1,6,5,4,3,2,2,1,1
2023-10-14,1,6,3,12,9,4,10,1,8,4,2,1,7,5,4,4,2,4,2,1
2023-10-15,1,7,4,12,9,4,10,1,7,5,2,1,7,5,5,4,5,3,2,1
2023-10-16,1,5,2,11,8,4,9,1,7,3,1,1,6,4,4,3,2,2,1,0
2023-10-17,1,5,3,11,9,4,10,1,7,3,1,1,6,4,4,3,2,2,1,1
2023-10-18,1,5,3,12,9,4,10,1,7,4,2,1,6,4,4,3,1,2,1,1
2023-10-19,1,6,3,12,9,4,11,1,7,3,2,1,6,5,3,3,2,2,2,1
2023-10-20,2,7,5,19,11,5,12,1,9,4,2,2,7,5,4,4,2,2,2,1
2023-10-21,7,63,94,80,81,12,36,9,67,56,17,2,38,14,8,27,5,4,30,9
2023-10-22,2,14,7,32,17,4,13,2,15,13,3,3,9,6,10,6,39,35,4,2
2023-10-23,1,7,3,13,10,4,11,1,8,4,2,37,7,5,48,4,6,5,2,1
2023-10-24,1,32,4,13,10,4,13,1,7,12,2,12,7,5,19,6,3,3,2,1
2023-10-25,1,13,4,13,11,4,56,1,7,6,2,2,7,5,5,22,3,3,2,1
2023-10-26,1,6,5,13,37,4,22,1,7,4,2,2,25,5,5,7,18,24,3,1
2023-10-27,2,7,3,13,19,5,12,3,8,3,3,2,12,5,45,5,5,6,45,1
2023-10-28,9,39,4,80,12,12,39,62,41,6,5,3,9,36,18,11,4,4,13,1
2023-10-29,2,10,24,26,30,5,14,5,9,20,48,15,29,9,7,68,22,28,2,11
2023-10-30,2,7,4,15,10,4,11,2,7,5,5,2,9,5,5,9,4,4,2,1
2023-10-31,2,6,3,13,9,5,11,1,7,4,2,2,8,5,5,4,2,4,2,1
2023-11-01,7,32,14,13,10,45,62,1,21,12,2,10,20,5,5,5,2,53,2,1
2023-11-02,3,13,6,12,12,16,29,1,11,5,2,5,10,5,5,5,2,19,2,1
2023-11-03,2,7,4,12,10,6,14,2,8,4,2,4,8,6,5,4,2,4,2,1
2023-11-04,7,44,20,23,27,77,65,18,11,16,3,100,10,16,7,29,6,21,9,2
2023-11-05,2,14,5,12,13,11,23,3,10,5,26,7,34,6,10,7,34,4,3,74
2023-11-06,2,7,4,11,10,5,13,1,52,3,5,3,10,5,93,4,4,2,2,9
2023-11-07,1,7,4,11,9,5,65,1,27,4,2,2,8,5,37,19,2,3,2,2
2023-11-08,1,26,3,11,10,4,19,1,8,13,2,2,8,5,6,10,3,3,2,1
2023-11-09,2,12,4,11,32,4,11,1,8,6,2,2,28,5,5,4,15,19,2,1
2023-11-10,3,6,3,12,15,5,11,2,8,3,2,2,13,6,6,4,6,7,3,2
2023-11-11,40,33,17,14,12,29,42,3,11,11,3,3,10,52,54,8,4,4,17,64
2023-11-12,5,10,6,24,28,8,15,59,88,6,16,15,29,10,9,48,20,25,3,7
2023-11-13,2,6,3,12,10,4,10,5,19,3,2,2,9,6,4,8,4,4,2,1
2023-11-14,2,5,3,12,9,4,10,1,9,2,2,1,8,5,4,4,2,2,2,1
2023-11-15,1,4,3,12,8,4,9,1,9,3,1,1,7,6,3,3,1,2,2,1
2023-11-16,1,4,3,11,9,4,9,1,8,3,1,1,7,5,3,3,1,2,1,1
2023-11-17,1,4,15,12,9,4,10,1,8,3,2,1,9,5,3,4,1,2,1,1
2023-11-18,2,5,10,12,9,4,11,1,10,3,2,1,10,6,4,5,2,2,2,1
2023-11-19,1,6,6,11,10,4,9,1,8,4,2,1,9,5,4,5,2,2,2,1
2023-11-20,2,4,4,11,9,4,10,1,7,2,1,1,8,5,3,4,2,2,1,1
2023-11-21,1,4,4,11,9,4,10,1,7,2,2,1,7,5,4,3,2,2,1,1
2023-11-22,1,4,4,10,9,3,10,1,7,3,2,1,7,4,4,4,2,2,2,1
2023-11-23,2,5,5,11,8,4,10,1,9,3,2,1,7,5,4,4,2,2,2,1
2023-11-24,2,6,4,12,9,4,12,2,10,3,3,1,10,5,4,6,2,3,2,1
2023-11-25,12,38,7,21,25,10,63,51,42,5,15,2,67,6,7,48,4,18,11,7
2023-11-26,3,14,100,13,11,4,16,8,12,13,3,2,11,6,51,8,44,6,3,2
2023-11-27,2,6,16,12,9,4,12,2,8,4,2,25,8,24,6,4,6,2,2,1
2023-11-28,1,6,4,12,8,4,81,1,7,4,2,8,7,11,4,28,3,2,1,1
2023-11-29,1,33,4,16,9,3,37,1,7,16,2,2,8,6,4,12,2,3,1,1
2023-11-30,1,15,3,13,26,4,12,1,7,7,2,1,21,5,4,4,17,18,1,1
2023-12-01,2,7,3,13,13,4,12,2,7,3,3,2,12,6,4,4,8,5,2,1
2023-12-02,11,37,27,26,12,5,74,17,10,11,18,3,10,64,6,7,5,4,3,11
2023-12-03,3,10,9,14,58,17,35,2,36,6,5,75,38,10,84,39,25,19,14,2
2023-12-04,2,7,4,14,13,5,13,1,10,3,2,7,10,6,16,7,4,3,2,2
2023-12-05,16,38,4,14,12,4,12,2,10,4,3,5,9,27,6,5,4,3,3,61
2023-12-06,5,19,5,57,27,10,12,13,51,19,13,17,24,10,6,25,48,3,14,25
2023-12-07,2,8,43,23,13,6,44,4,22,6,7,6,12,6,35,11,28,33,5,2
2023-12-08,2,8,16,13,12,5,20,2,9,4,4,3,10,6,17,5,7,15,5,2
2023-12-09,9,48,8,23,24,93,14,9,11,15,12,4,40,17,7,10,82,6,98,3
2023-12-10,2,15,50,11,11,14,52,2,34,6,4,28,13,7,57,27,21,26,8,71
2023-12-11,2,7,6,10,9,5,16,1,9,4,2,4,9,5,12,5,6,4,3,5
2023-12-12,1,32,4,11,8,4,13,1,8,12,2,2,8,5,5,7,4,3,2,2
2023-12-13,1,10,4,13,9,4,72,1,7,5,2,2,9,5,6,26,4,3,2,2
2023-12-14,2,6,3,11,37,4,26,1,8,3,2,2,28,5,5,6,18,19,2,1
2023-12-15,2,6,4,11,20,4,12,1,8,3,25,3,13,6,34,5,6,9,3,1
2023-12-16,15,11,25,52,12,44,38,2,31,12,13,28,14,6,20,25,6,5,82,37
2023-12-17,4,42,7,15,69,16,13,23,11,17,3,4,65,21,6,9,38,24,12,16
2023-12-18,2,10,4,10,13,9,11,3,8,5,2,2,14,6,5,12,7,5,4,8
2023-12-19,2,7,27,12,9,5,54,1,38,3,6,21,9,6,4,59,4,4,3,1
2023-12-20,2,6,9,12,10,4,27,1,21,3,5,8,28,6,4,15,4,58,3,1
2023-12-21,2,7,4,12,30,4,11,1,9,4,4,3,15,6,4,12,4,23,29,1
2023-12-22,2,8,4,34,16,5,12,1,8,6,4,3,11,6,5,100,39,6,11,2
2023-12-23,9,69,29,22,10,16,33,3,11,12,18,17,52,8,33,28,20,100,3,28
2023-12-24,3,16,6,11,8,6,11,2,42,4,5,4,15,76,8,9,5,9,2,4
2023-12-25,3,8,4,9,8,5,9,1,10,5,4,3,9,10,5,7,5,4,2,3
2023-12-26,64,11,6,30,10,28,58,3,10,15,43,23,33,7,6,9,97,5,4,18
2023-12-27,11,10,65,13,12,7,13,26,36,7,6,4,12,28,6,28,39,6,62,3
