"Add","Keyword","Search Volume (Global)","CPC (Global)","Competition (Global)","Mar 31, 2024 (Global)","Mar 30, 2024 (Global)","Mar 29, 2024 (Global)","Mar 28, 2024 (Global)","Mar 27, 2024 (Global)","Mar 26, 2024 (Global)","Mar 25, 2024 (Global)","Mar 24, 2024 (Global)","Mar 23, 2024 (Global)","Mar 22, 2024 (Global)","Mar 21, 2024 (Global)","Mar 20, 2024 (Global)","Mar 19, 2024 (Global)","Mar 18, 2024 (Global)","Mar 17, 2024 (Global)","Mar 16, 2024 (Global)","Mar 15, 2024 (Global)","Mar 14, 2024 (Global)","Mar 13, 2024 (Global)","Mar 12, 2024 (Global)","Mar 11, 2024 (Global)","Mar 10, 2024 (Global)","Mar 9, 2024 (Global)","Mar 8, 2024 (Global)","Mar 7, 2024 (Global)","Mar 6, 2024 (Global)","Mar 5, 2024 (Global)","Mar 4, 2024 (Global)","Mar 3, 2024 (Global)","Mar 2, 2024 (Global)","Mar 1, 2024 (Global)","Feb 29, 2024 (Global)","Feb 28, 2024 (Global)","Feb 27, 2024 (Global)","Feb 26, 2024 (Global)","Feb 25, 2024 (Global)","Feb 24, 2024 (Global)","Feb 23, 2024 (Global)","Feb 22, 2024 (Global)","Feb 21, 2024 (Global)","Feb 20, 2024 (Global)","Feb 19, 2024 (Global)","Feb 18, 2024 (Global)","Feb 17, 2024 (Global)","Feb 16, 2024 (Global)","Feb 15, 2024 (Global)","Feb 14, 2024 (Global)","Feb 13, 2024 (Global)","Feb 12, 2024 (Global)","Feb 11, 2024 (Global)","Feb 10, 2024 (Global)","Feb 9, 2024 (Global)","Feb 8, 2024 (Global)","Feb 7, 2024 (Global)","Feb 6, 2024 (Global)","Feb 5, 2024 (Global)","Feb 4, 2024 (Global)","Feb 3, 2024 (Global)","Feb 2, 2024 (Global)","Feb 1, 2024 (Global)","Jan 31, 2024 (Global)","Jan 30, 2024 (Global)","Jan 29, 2024 (Global)","Jan 28, 2024 (Global)","Jan 27, 2024 (Global)","Jan 26, 2024 (Global)","Jan 25, 2024 (Global)","Jan 24, 2024 (Global)","Jan 23, 2024 (Global)","Jan 22, 2024 (Global)","Jan 21, 2024 (Global)","Jan 20, 2024 (Global)","Jan 19, 2024 (Global)","Jan 18, 2024 (Global)","Jan 17, 2024 (Global)","Jan 16, 2024 (Global)","Jan 15, 2024 (Global)","Jan 14, 2024 (Global)","Jan 13, 2024 (Global)","Jan 12, 2024 (Global)","Jan 11, 2024 (Global)","Jan 10, 2024 (Global)","Jan 9, 2024 (Global)","Jan 8, 2024 (Global)","Jan 7, 2024 (Global)","Jan 6, 2024 (Global)","Jan 5, 2024 (Global)","Jan 4, 2024 (Global)","Jan 3, 2024 (Global)","Jan 2, 2024 (Global)","Jan 1, 2024 (Global)","Dec 31, 2023 (Global)"
"","brentford","823,000","$0.13","0.01","550,000","1,316,700","50,000","33,300","16,700","16,700","16,700","16,700","16,700","16,700","16,700","16,700","16,700","33,300","50,000","416,700","33,300","33,300","33,300","33,300","50,000","216,700","1,533,300","50,000","50,000","33,300","33,300","50,000","83,300","666,700","33,300","33,300","33,300","150,000","666,700","50,000","66,700","33,300","33,300","383,300","1,466,700","83,300","66,700","1,150,000","83,300","33,300","33,300","50,000","33,300","66,700","283,300","33,300","16,700","33,300","283,300","1,666,700","66,700","50,000","50,000","166,700","716,700","50,000","16,700","33,300","16,700","33,300","33,300","16,700","33,300","33,300","83,300","750,000","50,000","50,000","100,000","483,300","33,300","16,700","16,700","33,300","16,700","16,700","16,700","16,700","33,300","100,000","500,000","33,300","16,700","33,300","16,700","50,000"
"","arsenal","24,900,000","$0.08","0","1,236,400","1,236,400","865,500","741,800","680,000","618,200","618,200","741,800","680,000","618,200","618,200","618,200","680,000","741,800","989,100","1,298,200","1,360,000","865,500","1,916,400","6,181,800","989,100","1,669,100","3,585,500","741,800","741,800","927,300","1,360,000","3,585,500","989,100","865,500","618,200","680,000","680,000","803,600","927,300","1,421,800","3,585,500","927,300","1,360,000","3,647,300","927,300","680,000","927,300","2,843,600","803,600","680,000","741,800","680,000","803,600","3,400,000","927,300","556,400","556,400","618,200","680,000","1,050,900","5,192,700","927,300","741,800","741,800","927,300","2,596,400","618,200","865,500","741,800","680,000","618,200","741,800","680,000","618,200","803,600","2,658,200","618,200","680,000","680,000","556,400","618,200","803,600","803,600","618,200","680,000","680,000","618,200","989,100","4,698,200","989,100","741,800","741,800","741,800","680,000","803,600","3,090,900"
"","manchester united","37,200,000","$0.18","0","1,351,100","3,175,100","675,600","608,000","540,400","540,400","540,400","675,600","810,700","608,000","675,600","675,600","810,700","1,486,200","6,755,600","1,351,100","743,100","608,000","675,600","608,000","675,600","1,013,300","2,161,800","675,600","540,400","675,600","743,100","878,200","5,269,300","1,283,600","743,100","1,013,300","2,432,000","1,013,300","945,800","1,148,400","3,242,700","1,080,900","810,700","810,700","878,200","945,800","3,918,200","1,351,100","743,100","608,000","675,600","810,700","878,200","3,850,700","1,283,600","743,100","743,100","810,700","743,100","878,200","2,837,300","1,080,900","1,216,000","2,837,300","945,800","810,700","945,800","3,242,700","1,013,300","743,100","675,600","675,600","675,600","743,100","1,148,400","1,080,900","675,600","743,100","743,100","743,100","878,200","3,918,200","1,283,600","743,100","675,600","810,700","1,148,400","2,567,100","1,080,900","1,216,000","810,700","743,100","810,700","743,100","743,100","1,148,400"
"","wolverhampton wanderers","90,500","$0.18","0.01","440","2,100","260","260","170","130","220","260","220","220","130","220","310","350","570","4,400","0.00","0.00","0.00","0.00","0.00","0.00","2,100","0.00","0.00","0.00","0.00","0.00","0.00","1,500","0.00","0.00","0.00","0.00","0.00","3,000","1,200","0.00","0.00","2,800","0.00","0.00","0.00","3,900","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3,100","0.00","960","3,400","0.00","0.00","1,100","2,700","0.00","0.00","0.00","0.00","0.00","2,000","0.00","0.00","0.00","0.00","0.00","1,700","0.00","1,100","0.00","0.00","0.00","1,000","920","0.00","0.00","0.00","3,300","0.00","1,000","0.00","0.00","1,300"
"","burnley","673,000","$0.17","0.01","220,000","1,173,300","91,700","55,000","55,000","55,000","55,000","36,700","55,000","36,700","36,700","36,700","55,000","55,000","128,300","678,300","73,300","73,300","55,000","55,000","91,700","568,300","91,700","73,300","36,700","55,000","55,000","55,000","605,000","91,700","73,300","18,300","55,000","55,000","36,700","36,700","366,700","73,300","110,000","91,700","110,000","91,700","220,000","1,833,300","91,700","110,000","110,000","73,300","91,700","220,000","1,576,700","91,700","91,700","110,000","73,300","73,300","128,300","641,700","110,000","330,000","1,430,000","110,000","36,700","73,300","73,300","110,000","110,000","73,300","91,700","73,300","73,300","128,300","36,700","55,000","128,300","73,300","73,300","165,000","293,300","825,000","91,700","91,700","73,300","110,000","110,000","421,700","1,356,700","110,000","110,000","146,700","165,000","201,700"
"","brighton","2,240,000","$0.28","0.03","57,100","73,200","79,100","71,700","71,700","70,300","73,200","73,200","71,700","71,700","67,300","70,300","70,300","71,700","74,700","76,100","76,100","102,500","74,700","73,200","70,300","83,500","82,000","76,100","106,900","70,300","70,300","71,700","65,900","95,200","73,200","74,700","89,300","79,100","73,200","70,300","106,900","73,200","73,200","65,900","73,200","77,600","117,100","79,100","76,100","71,700","61,500","64,400","58,600","68,800","123,000","76,100","73,200","73,200","70,300","63,000","63,000","102,500","67,300","68,800","68,800","92,200","65,900","65,900","92,200","79,100","68,800","73,200","74,700","112,700","64,400","68,800","71,700","71,700","70,300","68,800","76,100","67,300","83,500","80,500","74,700","71,700","73,200","70,300","70,300","95,200","77,600","73,200","84,900","146,400","64,400","63,000"
"","chelsea","16,600,000","$0.06","0","420,000","740,000","420,000","420,000","460,000","400,000","420,000","460,000","480,000","500,000","500,000","440,000","500,000","460,000","1,020,000","620,000","580,000","720,000","460,000","580,000","940,000","560,000","600,000","540,000","680,000","580,000","500,000","520,000","640,000","820,000","580,000","680,000","840,000","500,000","640,000","2,000,000","740,000","660,000","660,000","680,000","660,000","580,000","700,000","1,260,000","480,000","420,000","360,000","440,000","640,000","400,000","400,000","380,000","440,000","740,000","380,000","380,000","720,000","420,000","340,000","460,000","860,000","400,000","360,000","440,000","480,000","680,000","400,000","540,000","840,000","380,000","420,000","440,000","380,000","380,000","400,000","480,000","540,000","440,000","700,000","400,000","400,000","500,000","800,000","440,000","460,000","760,000","440,000","400,000","400,000","380,000","400,000","400,000"
"","crystal palace","1,220,000","$0.38","0.01","60,000","210,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","40,000","40,000","40,000","40,000","50,000","60,000","30,000","60,000","50,000","60,000","60,000","80,000","300,000","70,000","40,000","50,000","50,000","70,000","100,000","450,000","70,000","50,000","60,000","60,000","60,000","90,000","250,000","70,000","60,000","60,000","140,000","620,000","120,000","80,000","60,000","50,000","50,000","190,000","820,000","90,000","90,000","60,000","40,000","60,000","60,000","60,000","90,000","340,000","70,000","70,000","100,000","250,000","50,000","50,000","50,000","50,000","60,000","50,000","70,000","70,000","170,000","1,000,000","80,000","80,000","400,000","60,000","50,000","100,000","60,000","50,000","50,000","50,000","40,000","60,000","60,000","60,000","130,000","450,000","70,000","50,000","70,000","80,000"
"","aston villa","4,090,000","$0.10","0.01","388,900","1,777,800","111,100","111,100","111,100","111,100","111,100","333,300","166,700","111,100","111,100","111,100","166,700","277,800","2,333,300","500,000","500,000","1,444,400","166,700","222,200","388,900","2,777,800","444,400","333,300","1,222,200","333,300","166,700","222,200","444,400","2,111,100","166,700","166,700","166,700","166,700","166,700","277,800","1,944,400","222,200","222,200","111,100","166,700","166,700","277,800","1,388,900","166,700","166,700","166,700","222,200","444,400","5,555,600","444,400","277,800","777,800","3,666,700","222,200","222,200","388,900","2,333,300","222,200","166,700","555,600","1,833,300","277,800","333,300","777,800","2,611,100","222,200","166,700","166,700","111,100","222,200","277,800","222,200","166,700","166,700","166,700","222,200","2,277,800","388,900","222,200","166,700","166,700","222,200","222,200","388,900","1,444,400","333,300","277,800","222,200","277,800","333,300","500,000"
"","everton","2,740,000","$0.52","0.03","104,400","313,100","78,300","65,200","65,200","65,200","65,200","78,300","78,300","52,200","65,200","65,200","78,300","91,300","117,400","130,500","78,300","78,300","91,300","91,300","78,300","234,900","1,304,800","104,400","65,200","91,300","65,200","65,200","130,500","495,800","104,400","91,300","78,300","130,500","247,900","143,500","495,800","104,400","130,500","143,500","247,900","965,500","169,600","143,500","78,300","91,300","104,400","78,300","78,300","182,700","1,213,400","130,500","91,300","104,400","91,300","104,400","169,600","965,500","91,300","143,500","143,500","469,700","91,300","117,400","443,600","91,300","91,300","91,300","91,300","78,300","91,300","156,600","91,300","156,600","665,400","130,500","208,800","730,700","130,500","104,400","65,200","65,200","104,400","78,300","104,400","117,400","208,800","717,600","117,400","104,400","104,400","117,400"
